player_name,team,conf,gp,min_per,ortg,usg,efg,ts_per,orb_per,drb_per,ast_per,to_per,ftm,fta,ft_per,two_pm,two_pa,two_p_per,tpm,tpa,tp_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,rec_rank,ast_tov,rim_made,rim_att,mid_made,mid_att,rim_pct,mid_pct,dunks_made,dunks_att,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,three_p_per_100,season
Antwann Jones,UNC Greensboro,SC,6,5.0,75.0,19.1,37.5,38.35,7.7,18.1,6.2,25.6,1,2,0.5,3,10,0.3,2,6,0.333,2.1,2.0,12.5,Sr,6-6,0,-0.64085,73.0859,4.1,2026,65925,"Orlando, FL",79.0,0.50005835,2.0,5.0,1.0,5.0,0.4,0.2,0.0,0.0,,,116.257,116.044,0.608809,10.8613,-9.19153,-7.17253,-2.01899,-8.94294,11.4857,-5.70791,-3.23503,0.5714,1.5714,2.1429,0.4286,0.2857,0.1429,3.4286,Wing F,5.90589,2026
Elijah Elliott,New Mexico St.,CUSA,25,49.1,105.2,26.3,43.6,49.73,1.8,10.0,26.2,15.1,57,70,0.814,34,95,0.358,34,100,0.34,1.0,2.2,35.9,Sr,6-1,11,1.40205,112.848,3.1,2026,67572,"Houston, TX",,1.7837129,16.0,29.0,18.0,66.0,0.5517,0.2727,0.0,0.0,,,111.166,112.056,1.51184,78.4366,-0.56433,1.24079,-1.80512,0.554575,19.3148,1.45784,-0.903267,0.2963,1.6667,1.963,2.4444,0.7778,0.1481,8.7037,Scoring PG,12.0041,2026
Doctor Bradley,Bethune Cookman,SWAC,8,15.0,103.4,30.0,55.2,54.04,8.7,29.2,27.9,17.0,21,44,0.477,34,60,0.567,2,7,0.286,5.1,3.2,65.7,Sr,6-8,13,1.25315,108.902,3.9,2026,70326,"Los Angeles, CA",,1.375,32.0,51.0,2.0,9.0,0.6275,0.2222,5.0,7.0,0.7143,,97.4273,106.052,2.12377,46.5086,5.4911,0.609862,4.88124,5.74596,22.0375,1.66095,4.08501,1.625,5.875,7.5,2.75,1.25,1.125,11.875,PF/C,2.23023,2026
Rahmir Moore,Delaware St.,MEAC,19,38.1,95.0,17.7,39.9,47.48,4.6,11.4,10.5,15.6,32,41,0.78,16,47,0.34,13,42,0.31,0.0,1.6,46.1,Sr,6-2,0,-0.285694,88.0088,2.5,2026,70501,"Philadelphia, PA",,1.33337588,10.0,24.0,6.0,23.0,0.4167,0.2609,1.0,1.0,1.0,,111.873,118.982,1.02697,51.9011,-5.99579,-3.65164,-2.34414,-5.62359,19.4043,-3.26586,-2.35772,0.9565,1.5217,2.4783,1.0435,0.4783,0.0,5.7391,Wing G,6.83682,2026
Alex Hemenway,Evansville,MVC,29,65.4,94.3,14.3,43.8,47.09,0.9,7.4,6.5,9.7,27,33,0.818,12,35,0.343,46,150,0.307,0.5,0.9,17.8,Sr,6-4,12,-0.287843,89.088,2.5,2026,70621,"Newburgh, IN",24.0,1.50017216,9.0,20.0,3.0,15.0,0.45,0.2,1.0,1.0,1.0,,120.536,119.206,1.36657,98.9312,-4.46813,-1.47661,-2.99152,-4.99493,25.7226,-2.78966,-2.20527,0.2581,1.5484,1.8065,0.871,0.3871,0.0968,6.7742,Combo G,11.6149,2026
Addison Patterson,Eastern Michigan,MAC,29,74.6,109.9,23.2,59.0,60.44,5.3,14.2,19.2,19.5,44,62,0.71,145,227,0.639,19,67,0.284,1.2,2.2,21.1,Sr,6-7,9,2.14454,112.968,3.6,2026,70754,"Mississauga, Canada",,1.19406256,116.0,162.0,29.0,65.0,0.716,0.4462,27.0,29.0,0.931,,107.358,106.993,2.82348,155.368,2.0731,0.975121,1.09798,2.21575,29.65,1.22705,0.988695,1.4333,3.7667,5.2,2.6667,1.1,0.3333,13.4667,Wing G,4.515,2026
Rienk Mast,Nebraska,B10,29,68.9,112.2,26.4,51.4,54.61,9.5,14.3,20.6,13.8,59,73,0.808,105,196,0.536,42,131,0.321,1.3,0.9,22.3,Sr,6-10,51,3.23833,124.994,2.4,2026,70772,"Groningen, Netherlands",,1.70590243,63.0,92.0,42.0,104.0,0.6848,0.4038,1.0,1.0,1.0,,100.193,94.7893,3.90442,141.038,5.49424,3.02724,2.467,4.94534,28.631,3.26969,1.67566,2.2759,3.7241,6.0,3.0,0.4483,0.2759,13.6207,Stretch 4,9.4023,2026
Rick Issanza,Loyola Marymount,WCC,28,37.2,105.2,10.1,63.8,58.41,9.3,14.4,3.1,23.0,11,29,0.379,30,46,0.652,0,1,0.0,9.8,1.0,61.7,Sr,7-1,22,0.00794139,92.402,5.0,2026,70789,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.44449816,26.0,36.0,4.0,10.0,0.7222,0.4,19.0,22.0,0.8636,,103.295,101.542,1.80986,88.5392,2.74853,-3.00817,5.7567,0.278951,16.0,-3.29728,3.57623,1.2414,2.0345,3.2759,0.2759,0.3103,1.4483,2.5862,C,0.129102,2026
Steele Venters,Gonzaga,WCC,27,32.7,113.5,15.0,54.4,55.97,1.4,7.9,9.7,15.7,10,12,0.833,8,16,0.5,36,98,0.367,0.6,2.4,10.5,Sr,6-7,2,0.820504,108.029,3.3,2026,70941,"Ellensburg, WA",,1.64707745,6.0,8.0,2.0,8.0,0.75,0.25,2.0,2.0,1.0,,96.9724,93.7059,2.10985,71.9406,3.8792,1.80047,2.07872,3.14955,15.063,0.400323,2.74923,0.1852,1.1111,1.2963,1.037,0.6296,0.0741,4.963,Wing G,13.5322,2026
Micah Thomas,Northwestern St.,Slnd,29,76.2,104.5,30.5,48.2,55.43,1.3,6.8,22.6,16.2,129,140,0.921,114,257,0.444,46,123,0.374,0.5,1.4,36.8,Sr,6-0,5,2.63369,117.172,2.4,2026,70961,"Oklahoma City, OK",,1.16666677,34.0,78.0,80.0,179.0,0.4359,0.4469,0.0,0.0,,,116.028,118.189,1.69873,114.93,-3.48805,0.208186,-3.69623,-0.438945,30.0935,1.99469,-2.43363,0.3226,1.6774,2.0,2.7097,0.871,0.129,17.1613,Scoring PG,8.43626,2026
